Dia;Mes;Anio;PM25;PM10;O3;CO;SO2;NO2
1;4;2026;18.48;36.15;31.51;.679;6.53;34.30
2;4;2026;18.69;35.83;32.46;.746;4.36;33.15
3;4;2026;18.43;36.99;40.28;.679;6.33;31.11
4;4;2026;12.73;33.97;45.12;.576;3.96;22.33
5;4;2026;14.05;27.49;29.54;.663;5.47;27.65
6;4;2026;19.46;40.81;27.36;.838;5.12;32.83
7;4;2026;17.41;31.63;30.04;.752;5.00;28.08
8;4;2026;14.87;36.40;24.79;.765;4.28;28.13
9;4;2026;9.07;40.07;18.53;.658;3.85;22.31
10;4;2026;12.03;42.09;25.37;.767;3.90;26.61
11;4;2026;10.00;35.48;22.72;.652;3.49;20.95
12;4;2026;10.83;34.39;31.54;.610;4.61;19.17
13;4;2026;12.83;30.31;27.93;.688;4.05;26.44
14;4;2026;13.76;26.12;32.57;.857;5.35;37.31
15;4;2026;15.56;21.92;31.20;.789;7.15;37.14
16;4;2026;13.09;18.70;26.46;.888;6.18;38.62
17;4;2026;15.75;17.98;23.29;.879;7.10;42.67
18;4;2026;13.57;19.69;28.04;.673;3.28;24.20
19;4;2026;9.33;19.39;25.21;.573;5.11;20.14
20;4;2026;12.93;25.54;19.98;.873;4.94;30.54
21;4;2026;16.33;25.11;13.64;.893;9.32;30.57
22;4;2026;14.80;30.09;15.59;.860;8.28;31.60
23;4;2026;16.50;31.96;16.87;.777;4.82;27.34
24;4;2026;17.12;27.97;29.07;.933;4.01;26.87
25;4;2026;15.44;27.94;33.92;.753;5.16;26.80
26;4;2026;10.86;22.03;37.26;.653;4.58;23.48
27;4;2026;15.33;24.60;32.60;.959;3.86;32.48
28;4;2026;14.49;42.38;35.51;.872;3.62;27.05
29;4;2026;18.60;32.31;47.10;.899;4.64;26.46
30;4;2026;10.73;29.10;39.73;.731;3.74;20.56
